"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 16 17:15:38 CDT 2023","Tue May 16 17:15:43 CDT 2023","4252","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"broken","Tue May 16 17:16:40 CDT 2023","Tue May 16 17:16:42 CDT 2023","2215","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 17:16:44 CDT 2023","Tue May 16 17:16:47 CDT 2023","2199","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 16 17:13:47 CDT 2023","Tue May 16 17:13:49 CDT 2023","1816","","Register Page validation","","User click on register button with valid Username & Password and confirm Password field as blank","","User click on register button with valid Username & Password and confirm Password field as blank",""
"broken","Tue May 16 17:15:18 CDT 2023","Tue May 16 17:15:20 CDT 2023","2169","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"broken","Tue May 16 16:18:19 CDT 2023","Tue May 16 16:18:21 CDT 2023","2252","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:47 CDT 2023","Tue May 16 17:16:49 CDT 2023","2182","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 16:18:42 CDT 2023","Tue May 16 16:18:42 CDT 2023","36","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:05 CDT 2023","Tue May 16 17:16:07 CDT 2023","2153","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"passed","Tue May 16 16:15:26 CDT 2023","Tue May 16 16:15:30 CDT 2023","3953","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:15:34 CDT 2023","Tue May 16 17:15:38 CDT 2023","4217","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"broken","Tue May 16 17:15:30 CDT 2023","Tue May 16 17:15:34 CDT 2023","4250","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Tue May 16 16:15:23 CDT 2023","Tue May 16 16:15:26 CDT 2023","2995","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:53 CDT 2023","Tue May 16 17:16:55 CDT 2023","2166","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 17:15:22 CDT 2023","Tue May 16 17:15:26 CDT 2023","3251","","Linked List","","User navigate to Linked List Page for selected Topic","","User navigate to Linked List Page for selected Topic",""
"passed","Tue May 16 16:16:04 CDT 2023","Tue May 16 16:16:07 CDT 2023","2770","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:55 CDT 2023","Tue May 16 17:16:58 CDT 2023","2208","","Tree","","User navigate back to selected Tree Topic Page and try Practice Question Page","","User navigate back to selected Tree Topic Page and try Practice Question Page",""
"passed","Tue May 16 17:14:07 CDT 2023","Tue May 16 17:14:09 CDT 2023","2611","","Register Page validation","","User logout from application after registration","","User logout from application after registration",""
"passed","Tue May 16 17:13:35 CDT 2023","Tue May 16 17:13:40 CDT 2023","4505","","Home Page","","User is on Home page and click getstarted link/dropbox on  home page without sign in","","User is on Home page and click getstarted link/dropbox on  home page without sign in",""
"passed","Tue May 16 16:15:06 CDT 2023","Tue May 16 16:15:08 CDT 2023","1654","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:15:04 CDT 2023","Tue May 16 17:15:07 CDT 2023","3036","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Tue May 16 17:14:53 CDT 2023","Tue May 16 17:14:56 CDT 2023","2577","","Array Page","","User validate dropbox","","User validate dropbox",""
"broken","Tue May 16 17:17:03 CDT 2023","Tue May 16 17:17:05 CDT 2023","2177","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"passed","Tue May 16 16:14:52 CDT 2023","Tue May 16 16:14:58 CDT 2023","6442","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:14:18 CDT 2023","Tue May 16 17:14:26 CDT 2023","8404","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"broken","Tue May 16 17:16:27 CDT 2023","Tue May 16 17:16:29 CDT 2023","2170","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 17:15:09 CDT 2023","Tue May 16 17:15:11 CDT 2023","2190","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"broken","Tue May 16 17:15:47 CDT 2023","Tue May 16 17:15:51 CDT 2023","4146","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"broken","Tue May 16 17:16:51 CDT 2023","Tue May 16 17:16:53 CDT 2023","2234","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 16:17:54 CDT 2023","Tue May 16 16:17:58 CDT 2023","3244","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:15:57 CDT 2023","Tue May 16 17:16:01 CDT 2023","3172","","Stack","","User navigate to Stack Page for selected Topic","","User navigate to Stack Page for selected Topic",""
"broken","Tue May 16 16:18:21 CDT 2023","Tue May 16 16:18:24 CDT 2023","3273","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:16:14 CDT 2023","Tue May 16 16:16:15 CDT 2023","458","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:49 CDT 2023","Tue May 16 17:16:51 CDT 2023","2154","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 17:16:33 CDT 2023","Tue May 16 17:16:36 CDT 2023","2167","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 16:17:52 CDT 2023","Tue May 16 16:17:54 CDT 2023","2209","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:16:41 CDT 2023","Tue May 16 16:16:49 CDT 2023","7955","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:15:14 CDT 2023","Tue May 16 17:15:16 CDT 2023","2228","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"broken","Tue May 16 17:16:58 CDT 2023","Tue May 16 17:17:01 CDT 2023","3198","","Graph","","User navigate to Graph Page for selected Topic and click on Try Here button","","User navigate to Graph Page for selected Topic and click on Try Here button",""
"passed","Tue May 16 16:15:41 CDT 2023","Tue May 16 16:15:49 CDT 2023","8349","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:13:54 CDT 2023","Tue May 16 17:13:57 CDT 2023","2889","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"broken","Tue May 16 17:15:43 CDT 2023","Tue May 16 17:15:47 CDT 2023","4205","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"broken","Tue May 16 17:16:09 CDT 2023","Tue May 16 17:16:13 CDT 2023","3168","","Queue","","User navigate to Queue Page for selected Topic and click on Try Here button","","User navigate to Queue Page for selected Topic and click on Try Here button",""
"passed","Tue May 16 17:14:56 CDT 2023","Tue May 16 17:15:04 CDT 2023","8059","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Tue May 16 17:13:49 CDT 2023","Tue May 16 17:13:54 CDT 2023","5334","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"broken","Tue May 16 17:16:01 CDT 2023","Tue May 16 17:16:03 CDT 2023","2212","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"broken","Tue May 16 17:16:38 CDT 2023","Tue May 16 17:16:40 CDT 2023","2156","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 16 17:14:48 CDT 2023","Tue May 16 17:14:53 CDT 2023","4539","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Tue May 16 16:16:15 CDT 2023","Tue May 16 16:16:18 CDT 2023","2794","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:42 CDT 2023","Tue May 16 17:16:44 CDT 2023","2169","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 16 17:14:26 CDT 2023","Tue May 16 17:14:34 CDT 2023","8080","","SignIn","","User entered valid login details on Login Page","","User entered valid login details on Login Page",""
"passed","Tue May 16 17:14:53 CDT 2023","Tue May 16 17:14:53 CDT 2023","338","","Data Structure Intro","","User navigate to Data Structure from dropdown and try Practice Question Page","","User navigate to Data Structure from dropdown and try Practice Question Page",""
"broken","Tue May 16 17:16:15 CDT 2023","Tue May 16 17:16:17 CDT 2023","2213","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"broken","Tue May 16 17:16:17 CDT 2023","Tue May 16 17:16:19 CDT 2023","2168","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Tue May 16 16:15:57 CDT 2023","Tue May 16 16:16:04 CDT 2023","7083","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 16:18:07 CDT 2023","Tue May 16 16:18:10 CDT 2023","3217","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:15:03 CDT 2023","Tue May 16 16:15:06 CDT 2023","3562","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:31 CDT 2023","Tue May 16 17:16:33 CDT 2023","2185","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
